Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,Chrome 121.0.0.0,,,29-01-2024 23:08:35,29-01-2024 23:14:18,5m - 43.171s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_001_Access Admin Menu,Chrome 121.0.0.0,,login,29-01-2024 23:08:36,29-01-2024 23:09:03,27.057s,PASSED
"callTestCase(findTestCase(""Login/Login Valid Admin""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:08:37,29-01-2024 23:09:00,23.017s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Admin""))",Chrome 121.0.0.0,,,29-01-2024 23:09:00,29-01-2024 23:09:01,1.452s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/h5_System Users""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:09:01,29-01-2024 23:09:03,1.731s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_002_Add New User,Chrome 121.0.0.0,,Jan,29-01-2024 23:09:03,29-01-2024 23:09:40,36.741s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:09:03,29-01-2024 23:09:25,21.413s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/button_Add_User""))",Chrome 121.0.0.0,,,29-01-2024 23:09:25,29-01-2024 23:09:28,2.776s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/Add User/h6_Add User""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:09:28,29-01-2024 23:09:29,1.079s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/dropdown_role""))",Chrome 121.0.0.0,,,29-01-2024 23:09:29,29-01-2024 23:09:29,0.538s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Admin""))",Chrome 121.0.0.0,,,29-01-2024 23:09:29,29-01-2024 23:09:30,0.611s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/dropdown_status""))",Chrome 121.0.0.0,,,29-01-2024 23:09:30,29-01-2024 23:09:30,0.612s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Enabled""))",Chrome 121.0.0.0,,,29-01-2024 23:09:30,29-01-2024 23:09:31,0.554s,PASSED
"setText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_employee_name""), EMPLOYEE_NAME)",Chrome 121.0.0.0,,,29-01-2024 23:09:31,29-01-2024 23:09:32,0.927s,PASSED
"verifyElementVisible(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Odis  Adalwin""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:09:32,29-01-2024 23:09:32,0.510s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Odis  Adalwin""))",Chrome 121.0.0.0,,,29-01-2024 23:09:32,29-01-2024 23:09:34,1.251s,PASSED
"setText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_Username_oxd-input oxd-input--focus""), USERNAME)",Chrome 121.0.0.0,,,29-01-2024 23:09:34,29-01-2024 23:09:35,1.011s,PASSED
"setEncryptedText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_Password_oxd-input oxd-input--focus""), PASSWORD)",Chrome 121.0.0.0,,,29-01-2024 23:09:35,29-01-2024 23:09:35,0.620s,PASSED
"setEncryptedText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_Confirm Password_oxd-input oxd-input--focus""), PASSWORD)",Chrome 121.0.0.0,,,29-01-2024 23:09:35,29-01-2024 23:09:36,1.057s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/button_Save""))",Chrome 121.0.0.0,,,29-01-2024 23:09:36,29-01-2024 23:09:37,0.596s,PASSED
