Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,Chrome 121.0.0.0,,,29-01-2024 14:48:54,29-01-2024 14:57:04,8m - 9.643s,PASSED
,,,,,,,
Test Cases/Features/Admin/Access Admin Menu,Chrome 121.0.0.0,,login,29-01-2024 14:48:55,29-01-2024 14:49:34,39.170s,PASSED
"callTestCase(findTestCase(""Login/Login Valid Admin""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 14:48:55,29-01-2024 14:49:29,34.045s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Admin""))",Chrome 121.0.0.0,,,29-01-2024 14:49:29,29-01-2024 14:49:31,2.046s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_OrangeHRM/h5_System Users""))",Chrome 121.0.0.0,,,29-01-2024 14:49:31,29-01-2024 14:49:34,2.279s,PASSED
,,,,,,,
Test Cases/Features/Admin/Add New User,Chrome 121.0.0.0,,Jan,29-01-2024 14:49:34,29-01-2024 14:50:16,42.185s,PASSED
"callTestCase(findTestCase(""Features/Admin/Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 14:49:35,29-01-2024 14:50:02,26.614s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/button_Add_User""))",Chrome 121.0.0.0,,,29-01-2024 14:50:02,29-01-2024 14:50:03,1.272s,PASSED
"verifyElementVisible(findTestObject(""Admin_Menu/User_Management/Users/Add User/h6_Add User""))",Chrome 121.0.0.0,,,29-01-2024 14:50:03,29-01-2024 14:50:04,1.062s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/dropdown_role""))",Chrome 121.0.0.0,,,29-01-2024 14:50:04,29-01-2024 14:50:04,0.562s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Admin""))",Chrome 121.0.0.0,,,29-01-2024 14:50:04,29-01-2024 14:50:05,0.645s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/dropdown_status""))",Chrome 121.0.0.0,,,29-01-2024 14:50:05,29-01-2024 14:50:06,0.570s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Enabled""))",Chrome 121.0.0.0,,,29-01-2024 14:50:06,29-01-2024 14:50:06,0.600s,PASSED
"setText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_employee_name""), EMPLOYEE_NAME)",Chrome 121.0.0.0,,,29-01-2024 14:50:06,29-01-2024 14:50:07,0.924s,PASSED
"verifyElementVisible(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Odis  Adalwin""))",Chrome 121.0.0.0,,,29-01-2024 14:50:07,29-01-2024 14:50:08,0.537s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Odis  Adalwin""))",Chrome 121.0.0.0,,,29-01-2024 14:50:08,29-01-2024 14:50:09,1.389s,PASSED
"setText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_Username_oxd-input oxd-input--focus""), USERNAME)",Chrome 121.0.0.0,,,29-01-2024 14:50:09,29-01-2024 14:50:10,0.914s,PASSED
