Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,Firefox 122.0,,,30-01-2024 20:37:06,30-01-2024 20:44:42,7m - 35.559s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_001_Access Admin Menu,Firefox 122.0,,login,30-01-2024 20:37:07,30-01-2024 20:37:37,30.349s,PASSED
"callTestCase(findTestCase(""Login/Login Valid Admin""), [:], STOP_ON_FAILURE)",Firefox 122.0,,,30-01-2024 20:37:07,30-01-2024 20:37:34,26.147s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Admin""))",Firefox 122.0,,,30-01-2024 20:37:34,30-01-2024 20:37:35,1.725s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/h5_System Users""), 0)",Firefox 122.0,,,30-01-2024 20:37:35,30-01-2024 20:37:37,1.635s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_002_Add New User,Firefox 122.0,,Jan,30-01-2024 20:37:37,30-01-2024 20:38:23,46.233s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Firefox 122.0,,,30-01-2024 20:37:38,30-01-2024 20:38:02,24.072s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/button_Add_User""))",Firefox 122.0,,,30-01-2024 20:38:02,30-01-2024 20:38:03,1.301s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/Add User/h6_Add User""), 0)",Firefox 122.0,,,30-01-2024 20:38:03,30-01-2024 20:38:04,0.999s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/dropdown_role""))",Firefox 122.0,,,30-01-2024 20:38:04,30-01-2024 20:38:05,0.547s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Admin""))",Firefox 122.0,,,30-01-2024 20:38:05,30-01-2024 20:38:05,0.593s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/dropdown_status""))",Firefox 122.0,,,30-01-2024 20:38:05,30-01-2024 20:38:06,0.604s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Add User/div_Enabled""))",Firefox 122.0,,,30-01-2024 20:38:06,30-01-2024 20:38:06,0.583s,PASSED
"setText(findTestObject(""Admin_Menu/User_Management/Users/Add User/input_employee_name""), EMPLOYEE_NAME)",Firefox 122.0,,,30-01-2024 20:38:06,30-01-2024 20:38:07,0.640s,PASSED
"waitForElementVisible(findTestObject(""Admin_Menu/User_Management/Users/div_Odis Adalwin""), 5)",Firefox 122.0,,,30-01-2024 20:38:07,30-01-2024 20:38:18,10.562s,PASSED
