Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Features/Admin/TC_Admin_003_Search User""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:52:30,29-01-2024 23:53:03,33.236s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_John Doe""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:03,29-01-2024 23:53:04,1.119s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_Admin""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:04,29-01-2024 23:53:05,0.721s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_Odis Adalwin""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:05,29-01-2024 23:53:05,0.717s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/div_Enabled""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:05,29-01-2024 23:53:06,0.750s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_005_Ensure Data Edit User,Chrome 121.0.0.0,,Jan,29-01-2024 23:53:06,29-01-2024 23:53:42,35.602s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_003_Search User""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:53:07,29-01-2024 23:53:36,28.995s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/btn_i_Enabled_oxd-icon bi-edit""))",Chrome 121.0.0.0,,,29-01-2024 23:53:36,29-01-2024 23:53:38,2.061s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/Edit User/div_Admin""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:38,29-01-2024 23:53:39,1.319s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/Edit User/div_Enabled""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:39,29-01-2024 23:53:40,1.238s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/Edit User/input""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:40,29-01-2024 23:53:41,0.661s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/Edit User/input_Username_oxd-input oxd-input--focus""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:53:41,29-01-2024 23:53:42,0.698s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_006_Update User,Chrome 121.0.0.0,,Jan,29-01-2024 23:53:42,29-01-2024 23:54:26,43.868s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_005_Ensure Data Edit User""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:53:43,29-01-2024 23:54:20,37.463s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Edit User/div_Admin""))",Chrome 121.0.0.0,,,29-01-2024 23:54:20,29-01-2024 23:54:21,0.903s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Edit User/span_ESS""))",Chrome 121.0.0.0,,,29-01-2024 23:54:21,29-01-2024 23:54:22,0.840s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Edit User/div_Enabled""))",Chrome 121.0.0.0,,,29-01-2024 23:54:22,29-01-2024 23:54:22,0.537s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Edit User/span_Disabled""))",Chrome 121.0.0.0,,,29-01-2024 23:54:22,29-01-2024 23:54:23,0.683s,PASSED
"click(findTestObject(""Admin_Menu/User_Management/Users/Edit User/button_Save""))",Chrome 121.0.0.0,,,29-01-2024 23:54:23,29-01-2024 23:54:24,0.643s,PASSED
"verifyElementPresent(findTestObject(""Admin_Menu/User_Management/Users/Add User/popup_SuccessSuccessfully Saved""), 0)",Chrome 121.0.0.0,,,29-01-2024 23:54:24,29-01-2024 23:54:26,2.122s,PASSED
,,,,,,,
Test Cases/Features/Admin/TC_Admin_007_Search Updated User,Chrome 121.0.0.0,,Jan,29-01-2024 23:54:26,29-01-2024 23:54:56,29.827s,PASSED
"callTestCase(findTestCase(""Features/Admin/TC_Admin_001_Access Admin Menu""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,29-01-2024 23:54:27,29-01-2024 23:54:47,20.373s,PASSED
